id,first_name,last_name,Hourly rate,Hours worked,ip_address
71,Brendon,Itzhaki,18.75,36,73.197.158.29
72,Jeremias,Lum,12.35,21,63.137.254.228
73,Faydra,Aberdeen,15.06,16,9.194.195.77
74,Kayle,Wakely,7.52,22,163.197.115.34
75,Bibby,MacCartan,16.26,31,128.119.96.121
76,Amber,Bogeys,17.41,11,192.172.154.79
77,Joseph,O Mullen,8.66,20,113.247.83.237
78,Orly,Elves,17.48,21,202.24.131.36
79,Andriana,Kroch,17.62,37,170.7.49.202
80,Neille,Duns,12.05,15,225.16.115.150
81,Scarlet,Rolinson,16.23,36,34.255.25.202
82,Trevar,Tassell,12.34,40,39.48.178.52
83,Danita,Bordessa,10.41,28,138.152.173.248
84,Cristabel,Muckeen,9.99,24,1.94.166.135
85,Geraldine,Giffkins,9.15,29,77.19.110.116
86,Anetta,MacCard,16.99,38,139.15.86.214
87,Winfield,Bierton,16.86,25,88.93.204.85
88,Tanhya,Rignoldes,15.03,23,172.245.211.170
89,Selia,MattiCCI,12.53,18,16.45.212.103
90,Corabella,Gaskins,11.22,20,140.13.224.110
91,Baldwin,Pearson,10.96,34,183.50.35.244
92,Almire,Argent,8.3,23,122.169.107.231
93,Harri,Guislin,13.09,29,69.140.167.85
94,Caddric,Izkovitz,9.13,15,168.164.123.131
95,Fabian,Stennett,13.32,16,218.54.52.198
96,Yule,Meijer,13.73,18,90.131.98.182
97,Gerick,Bergin,9.34,27,110.239.205.14
98,Jedidiah,Gulleford,17.21,24,110.46.254.97
99,Sukey,Frantz,14.28,36,192.80.120.122
100,Elise,Bodle,9.39,18,98.11.16.57
101,Stavros,Leggatt,18.62,31,111.196.32.85
102,Fitzgerald,Mazella,9.97,26,69.47.197.14
103,Findlay,Crookshanks,9.16,30,135.234.146.59
104,Kathy,Glasscott,11.25,11,159.143.100.111
105,Rudolfo,Kalinsky,15.3,8,242.180.116.131
106,Douglass,Baggiani,13.23,37,139.85.250.112
107,Corina,Stutter,8.94,32,43.9.25.107
108,Toiboid,Bunting,8.76,23,213.192.248.151
109,Jenifer,Main,17.07,32,179.115.173.249
110,Vivien,Brahmer,15.8,18,183.83.103.74
111,Mead,Boarleyson,18.7,16,89.19.250.131
112,Nissie,Karpe,17.82,21,113.140.28.142
113,Tann,Borham,9.62,34,97.120.208.24
114,Dyanne,Leban,18.49,27,190.190.222.104
115,Fleming,Millsap,18.79,16,235.11.115.201
116,Estele,Swinn,17.74,9,74.84.78.22
117,Lise,Jeffs,18.35,40,4.69.93.82
118,Fernando,Happs,17.4,24,228.230.129.173
119,Nertie,Mattis,8.79,37,150.76.250.137
120,Sasha,Wagstaff,11.47,29,137.201.40.96
121,Darn,Sporrij,17.94,16,254.19.172.203
122,Cacilie,Thibodeaux,17.29,29,232.47.41.247
123,Dorree,Gosnell,11.49,17,220.194.211.181
124,Dorella,Mintoff,9.68,27,168.1.64.199
125,Kaleena,Tatford,15.97,31,82.218.6.50
126,Gill,Flello,17.33,29,240.134.243.166
127,Bobbette,Basley,17.32,36,14.122.91.194
128,Jammie,Keattch,16.05,16,192.119.222.17
129,Gerhard,Puzey,11.45,28,153.126.68.234
130,Tuckie,Rathbourne,11.8,23,85.184.143.179
131,Kylie,Lockley,11.7,22,209.113.246.165
132,Calli,Duinbleton,16.09,25,123.106.39.101
133,Leena,Escolme,13.48,28,22.10.2.76
134,Liva,Giacomelli,16.18,40,42.129.133.24
135,Keefer,Gerrish,10.6,40,248.114.219.133
136,Wrennie,Lafond,13.45,32,78.121.39.226
137,Renell,McKue,13.35,15,221.236.136.183
138,Xenia,Prinne,8.44,15,247.252.245.228
139,Mauricio,MacAdie,17.48,36,108.37.47.119
140,Grantley,Readings,18.73,15,54.20.47.203
141,Rosaleen,Dowzell,12.87,30,102.3.120.157
142,Gwenora,But,18.7,34,130.234.83.127
143,Keane,Brasseur,14.55,28,125.189.136.223
144,Sianna,Bridewell,13.23,34,82.51.208.159
145,Inger,Dyet,8.04,26,87.116.244.210
146,Lionel,Pomphrett,12.69,16,204.180.132.119
147,Major,Tenby,15.62,23,210.227.3.156
148,Reggy,Akker,8.45,26,26.156.29.94
149,Dona,Rippon,11.88,25,228.249.40.207
150,Valentina,Tran,8.37,17,241.61.66.193
151,Patsy,Wadhams,15.29,31,149.96.28.24
152,Shae,Dengate,15.85,30,195.240.254.201
153,De witt,Rois,8.68,26,79.5.176.90
154,Ibby,Eagar,13.29,18,64.12.163.150
155,Jobie,Newlan,11.94,35,128.178.190.28
156,Kelby,Speakman,14.16,18,10.4.88.93
157,Scarlet,Murdy,11.78,32,145.19.96.23
158,Trish,Weiss,12.19,27,208.3.114.231
159,Mathias,Halsted,10.22,11,25.20.112.136
160,Alisander,Gisburn,7.47,19,229.157.142.20
161,Neile,Vido,12.06,39,10.28.143.11
162,Kippy,Calterone,12.62,13,105.185.209.203
163,Bogart,Pavlishchev,10.26,28,35.125.210.214
164,Lorene,Brookwell,8.59,21,130.215.120.161
165,Tobey,Schwier,8.58,10,142.58.172.162
166,Glyn,Comben,16.63,15,115.92.7.26
167,Pancho,Windsor,13.28,38,193.47.234.106
168,Kahlil,Imore,7.8,10,30.102.158.209
169,Dominic,Cordero,16.37,39,18.220.59.142
170,Yettie,Burr,14.63,27,139.153.70.194
171,Fabien,Moyne,8.23,39,234.167.148.182
172,Debee,Cully,8.48,39,75.105.27.29
173,Deeann,Tellesson,12.66,14,71.23.62.147
174,Lindy,Row,15.41,18,135.131.200.137
175,Pamela,Brennenstuhl,14.48,10,109.58.153.14
176,Osmond,Gwyther,12.47,25,79.60.127.241
177,Aguistin,Restieaux,11.47,12,10.84.27.151
178,Dottie,Lempel,16.4,38,214.101.223.89
179,Ailis,Casel,9.06,15,253.3.97.225
180,Dante,Gullyes,11.2,36,151.87.237.76
181,Gwenore,Berendsen,16.58,22,198.119.56.42
182,Ianthe,Pryor,17.17,21,67.239.246.239
183,Fanechka,Clewer,10.16,34,54.165.54.47
184,Van,Corney,13.54,36,159.164.227.204
185,Wynny,Witul,16.08,35,82.210.212.101
186,Elberta,Pietranek,10.13,22,51.217.104.206
187,Grazia,Pacitti,12.3,30,100.96.115.21
188,Rhianon,Romanin,13.39,17,211.26.231.180
189,Phillipe,Pettican,18.35,13,110.3.198.70
190,Tori,Redmore,14.94,20,69.221.4.39
191,Jordan,Frier,15.77,11,123.119.114.17
192,Robenia,Kirkbright,10.66,36,138.149.166.48
193,Kate,Brunelleschi,13.92,40,177.52.154.141
194,Morgun,Marian,12.2,37,143.147.64.251
195,Wilt,Stormont,16.48,10,31.146.135.130
196,Orland,Okie,7.49,34,119.191.7.124
197,Agnes,Hovington,17.79,16,125.205.135.171
198,Maressa,Westbury,13.6,36,107.209.173.253
199,Lissy,Wigsell,9.02,26,194.199.24.203
200,Sasha,Corrison,16.92,9,6.137.229.17
201,Basile,O'Hartnett,11.36,24,119.106.165.150
202,Shauna,Laetham,18.86,27,169.116.88.253
203,Antonin,Cardall,8.34,31,159.239.242.21
204,Herby,Brownill,11.34,40,93.105.22.55
205,Jefferson,Bardwell,9.91,34,221.35.94.197
206,Mill,Atwill,12.54,35,58.65.150.19
207,Clarey,Ivens,13.1,35,168.161.19.25
208,Amye,Ibbotson,8.48,40,148.230.255.131
209,Ernesto,Chesney,13.3,8,5.136.143.124
210,Lura,Hartegan,13.75,20,117.2.162.255
211,Meredith,Jepson,16.03,39,22.221.80.226
212,Jocko,Blanden,7.62,29,7.142.226.100
213,Tammie,Giriardelli,11.81,15,245.21.205.68
214,Mason,Dunkerly,7.62,40,34.187.234.44
215,Rois,Sinderland,13.4,22,251.31.36.246
216,Kayley,Plastow,15.27,18,76.6.147.236
217,Anallese,Weedenburg,9.72,10,74.93.210.159
218,Rozanna,Cruickshank,7.46,29,127.158.161.20
219,Max,Fairlem,14.96,22,141.54.247.6
220,Selby,Steagall,8.46,26,101.178.65.44
221,Camey,Luesley,17.43,29,44.228.123.1
222,Marena,Pine,16.44,28,254.154.100.241
223,Rhoda,Buzzing,16.54,21,90.187.73.17
224,Elias,Bousfield,16.95,32,60.206.206.158
225,Daphne,Leimster,13.12,23,201.71.105.168
226,Aloise,Duplain,8.15,39,74.246.13.67
227,Ursola,Sarah,15.69,29,174.245.33.247
228,Even,Hulse,18.6,35,79.232.182.71
229,Marcellina,Cagan,16.17,30,123.79.190.241
230,Helena,Braisted,15.63,13,149.81.109.73
231,Tana,Lamperd,17.56,34,82.28.117.148
232,Monti,Corro,8.41,10,128.218.206.66
233,Gusty,Fairham,8.92,32,185.223.133.4
234,Emmaline,Birchall,10.44,40,91.188.229.64
235,Broderic,Forsdike,7.59,40,61.46.65.126
236,Bessy,Sabbatier,10.63,37,74.98.167.72
237,Gerrie,Clancy,10.83,38,178.151.57.18
238,Rosemary,Jentet,15.08,9,174.155.149.73
239,Vincenz,MacShirie,12.9,39,230.183.135.133
240,Abigail,Buddleigh,15.8,38,232.108.102.194
241,Marin,Baudet,12.38,8,246.178.138.141
242,Juline,Jambrozek,12.61,38,24.141.151.190
243,Adolphe,Westgarth,16.69,16,143.135.195.207
244,D'arcy,Cohn,17.9,14,95.132.126.140
245,Daniela,Tellenbroker,10.73,24,168.81.198.113
246,Lurlene,Plowright,12.85,20,119.173.135.23
247,Nerta,Richards,17.17,8,189.166.1.241
248,Doe,Ivons,17.2,34,115.125.204.212
249,Vinny,Hammerson,15.72,28,120.253.88.18
250,Ariel,Thebe,11.24,23,81.29.229.62
251,Cate,Fetterplace,16.36,13,81.189.222.206
252,Kurtis,Curmi,9.66,30,28.86.74.167
253,Derril,Dict,14.24,38,175.201.26.198
254,Cindy,Benko,9.56,36,74.221.85.76
255,Malanie,Varian,11.11,9,107.151.147.116
256,Alexandre,Diamond,11.47,27,21.44.102.3
257,Noe,Screas,8.57,29,131.185.96.78
258,Nikola,Strattan,14.59,29,35.61.209.238
259,Angelika,Burg,12.73,29,90.210.87.169
260,Gabriel,Defond,13.98,33,192.114.170.67
261,Winonah,Whiteson,12.94,35,157.152.152.179
262,Imogen,Pannett,10.93,28,213.177.169.30
263,Kenyon,Conquest,9.33,14,28.151.197.69
264,Nata,Duran,13.33,16,68.188.12.202
265,Tanner,Finnigan,17.89,40,193.39.179.253
266,Stacie,Bath,17.16,22,71.196.133.149
267,Christy,Eakly,8.77,26,221.122.194.237
268,Starla,McCreedy,7.58,11,80.247.240.105
269,Hendrik,Bayles,12.97,18,244.59.86.33
270,Dwain,Motton,7.44,13,197.2.156.220
271,Janaya,Hasser,17.93,32,145.141.233.234
272,Collin,Atling,16.53,18,51.169.240.151
273,Aindrea,Winson,17.66,26,169.194.221.92
274,Maighdiln,Caveau,11.51,8,48.226.147.219
275,Elvina,Goodswen,11.89,39,92.198.204.189
276,Reine,Lewing,11.49,27,110.158.146.62
277,Alisha,Affleck,15.79,24,234.47.90.77
278,Sebastian,Stayte,17.44,14,196.220.170.144
279,Brose,Petley,16.46,11,190.214.79.149
280,Charlton,Colville,17.39,23,195.14.248.50
281,Jaquelyn,Burbage,11.52,9,46.35.140.59
282,Shepherd,Petteford,14.93,24,133.11.242.20
283,Katusha,Morland,8.11,8,3.127.30.171
284,Bernette,Frede,16.88,32,109.250.122.156
285,Clement,Acklands,18.43,18,140.252.149.187
286,Caleb,Evill,13.63,35,147.170.178.239
287,Creighton,Zukierman,13.71,23,28.123.46.231
288,Edouard,Chicken,12.27,36,165.127.181.242
289,Mano,Spata,12.65,29,183.249.110.146
290,Bentlee,Coggin,15.46,39,86.33.179.137
291,Meghann,Jayes,11.56,29,241.145.135.165
292,Nissie,Filipchikov,12.23,22,97.56.191.211
293,Romonda,Adrienne,12.8,20,40.56.147.160
294,Clywd,Triebner,9.95,39,196.60.56.19
295,Hank,Robertucci,18.24,32,3.251.224.17
296,Modesta,Lunk,10.38,12,60.162.89.218
297,Skye,Conway,17.48,30,240.240.73.161
298,Audrye,Jandourek,8.9,36,15.250.208.215
299,Sky,Lomas,7.9,12,60.106.204.251
300,Dredi,Gookey,14.74,14,217.177.139.172
301,Crissy,MacClancey,14.39,35,61.164.212.238
302,Odie,Munkley,12.17,34,54.247.75.242
303,Joby,Phalip,8.07,35,218.249.51.0
304,Regan,Woodwing,11.67,29,51.120.91.126
305,Gilly,Fawdrie,12.08,26,112.213.149.102
306,Abelard,Brien,16.65,38,99.28.103.176
307,Remington,Bertlin,10.83,37,66.101.42.235
308,Denys,Simko,7.43,12,46.106.43.32
309,Lon,MacCracken,17.72,35,234.119.230.7
310,Licha,Presdie,17.35,23,140.86.242.219
311,Ben,Dawnay,17.44,13,177.187.180.27
312,Marj,Allridge,18.68,12,163.146.8.71
313,Amil,Ghidotti,7.67,37,41.115.69.98
314,Dominica,Songer,8.6,21,11.41.98.163
315,Helga,Davidde,7.31,24,119.228.42.224
316,Murial,McLennan,14.31,39,187.150.68.38
317,Ofella,Taber,9.19,16,41.128.182.79
318,Sallee,Maywood,13.3,38,147.189.250.156
319,Vina,Penrith,16.04,12,24.57.204.207
320,Todd,Dunmore,14.83,15,128.34.42.240
321,Rudie,Baseley,12.4,12,236.173.57.138
322,Amalea,Piggen,11.21,21,82.128.239.177
323,Hart,Whittlesey,18.45,21,100.67.192.140
324,Fanchon,Sharphouse,17.27,29,87.161.28.23
325,Bria,Morrall,7.77,38,155.227.187.244
326,Margie,Catterson,13.14,14,242.10.254.83
327,Coreen,Tresvina,7.61,17,65.185.243.187
328,Forrester,Bugby,14.36,31,205.23.66.122
329,Ludwig,Goodbarr,13.88,21,183.228.190.251
330,Helge,Gaishson,10.59,21,149.193.184.89
331,Georas,Ruddell,16.81,11,232.27.141.100
332,Felicity,Cerie,14.18,8,53.141.198.184
333,De witt,Boddy,18.77,15,118.243.100.59
334,Norris,Whiteson,16.13,37,91.214.228.18
335,Jaime,Hardcastle,13.7,36,111.1.58.1
336,Druci,Rotham,16.08,22,99.193.206.146
337,Donaugh,Pendleberry,13.19,27,86.109.38.179
338,Frederique,Bradbury,12.79,40,0.222.220.118
339,Lucius,Cordobes,11.26,31,176.130.204.213
340,Duffie,Carreck,18.52,27,178.168.222.132
341,Yurik,Gauler,13.83,39,94.106.163.56
342,Thadeus,Stadden,10.88,34,141.53.80.229
343,Farrell,Priddy,15.02,14,211.134.14.72
344,April,Trask,10.05,18,182.81.25.93
345,Jeannette,Skirvin,7.47,39,25.0.78.17
346,Tynan,Late,12.01,10,7.253.233.57
347,Wrennie,Syddall,18.77,8,248.104.255.77
348,Even,Athersmith,8.03,15,139.120.141.238
349,Carlin,Edsell,10.7,23,45.180.84.115
350,Tiebout,Spalding,10.24,13,183.151.32.63
351,Olvan,Beloe,9.0,30,196.155.205.34
352,Felicle,Roth,14.86,25,11.225.32.12
353,Chlo,Jakoubec,17.24,9,92.18.61.243
354,Aldin,Munton,12.52,8,174.221.233.158
355,Guenevere,Sidary,8.83,25,48.163.20.141
356,Bennie,Wannan,16.42,13,185.248.124.69
357,Sigvard,Sommerville,12.93,25,64.185.209.100
358,Karyl,Broady,9.31,29,226.252.173.128
359,Roley,Abbatt,15.87,19,116.213.138.64
360,Graehme,Tissier,13.32,15,70.120.45.219
361,Bunnie,Lauthian,7.45,30,192.100.73.114
362,Asher,Judge,11.07,35,135.146.200.153
363,Corene,Mingardi,18.96,15,58.240.32.188
364,Maurizio,Wingeat,7.41,30,88.138.168.72
365,Ara,Franchi,7.63,31,61.158.0.6
366,Dukie,Callacher,14.95,24,90.1.221.169
367,Sydelle,Sanz,13.7,11,161.141.75.100
368,Carver,Gianinotti,8.98,22,7.220.117.120
369,Bogey,Postians,17.86,34,121.162.192.72
370,Merrielle,Robion,16.24,12,111.246.41.36
371,Paxon,Chasmer,9.95,29,12.166.145.32
372,Gail,Liccardi,11.78,15,119.136.168.13
373,Jyoti,Finney,13.53,30,150.252.227.82
374,Ailsun,Pickring,12.14,24,11.89.127.146
375,Dehlia,Caisley,18.8,39,60.169.243.181
376,Berte,Ryles,10.46,27,153.199.75.172
377,Emlynne,Adao,12.46,13,155.240.161.183
378,Corilla,Volks,18.99,29,218.79.98.225
379,Kellen,Glyssanne,13.78,16,226.98.10.40
380,Andreana,Starsmore,18.78,36,41.198.232.33
381,Orelia,Cushworth,14.97,18,119.35.174.189
382,Darryl,Hissett,16.93,15,208.3.83.75
383,Graham,Capper,8.65,24,80.142.60.148
384,Orran,Kemery,10.42,16,29.140.121.4
385,Sheilakathryn,Turnpenny,8.96,19,141.171.105.117
386,Meriel,Scrivin,17.54,22,104.63.125.214
387,Lovell,Crotch,15.72,40,249.238.235.229
388,Rodger,Padfield,17.39,35,74.77.31.49
389,Devland,Huggett,18.85,40,163.109.98.84
390,Farley,Penas,13.73,40,49.126.73.111
391,Anallise,Stoyle,18.36,31,128.42.126.94
392,Hubie,Lascelles,14.03,37,254.189.8.18
393,Gradey,Hryniewicz,9.3,15,210.102.51.158
394,Howard,Dober,14.12,21,191.101.198.5
395,Aylmar,Golds,14.68,37,205.31.181.63
396,Shellie,Jelly,7.36,13,123.217.142.8
397,Parke,Feben,14.85,33,230.190.47.76
398,Shir,Cicerone,15.77,23,121.236.216.195
399,Eunice,Reymers,17.1,8,94.212.200.121
400,Jocelyne,Klosser,11.94,16,220.157.194.121
401,Ketty,Hart,13.85,20,205.39.122.237
402,Glenda,Reddel,13.11,16,191.82.38.249
403,Ralina,Wooldridge,17.55,15,116.95.139.121
404,Querida,Korneev,18.47,40,139.189.99.19
405,Tine,Aitkenhead,8.57,30,112.15.68.106
406,Grantham,Findlay,16.13,26,197.158.220.153
407,Nial,O'Lagene,13.49,21,229.24.216.205
408,Phillida,Younglove,18.64,9,145.47.169.86
409,Cherilynn,Kilby,14.45,38,123.42.106.212
410,Mady,Orritt,14.62,16,88.249.186.127
411,Ava,Huygens,12.7,10,70.191.241.65
412,Paulo,Tiltman,11.12,25,183.176.35.102
413,Bibby,Cockram,8.73,9,83.192.230.130
414,Sandro,Goss,8.32,20,6.121.105.35
415,Elizabeth,Buckthorp,11.95,33,139.162.199.33
416,Frayda,Papworth,15.81,31,111.40.67.210
417,Lotti,Twitchings,8.62,22,12.96.126.45
418,Susi,Cawtheray,16.1,25,109.155.156.175
419,Daryl,Bould,8.28,17,204.160.233.246
420,Stella,Robrose,17.9,24,2.237.94.24
421,Matilde,Willmer,18.47,40,143.2.31.100
422,Aurelie,Bewsy,11.94,37,89.88.72.210
423,Rae,Deaville,8.87,13,239.66.136.144
424,Anstice,Pettko,11.88,27,40.90.65.196
425,Freddy,Endon,18.89,8,132.63.8.90
426,Ardath,Furzey,12.89,36,200.30.102.166
427,Horst,Frosdick,16.03,25,244.46.168.206
428,Tess,Beert,11.3,8,38.24.242.173
429,Fanchon,Massei,16.52,15,124.178.83.139
430,Gherardo,Caddock,13.92,27,143.36.176.151
431,Tess,Fleeming,10.19,8,165.4.18.141
432,Cirilo,Milburne,15.86,21,18.237.239.77
433,Merrile,Blowick,17.7,14,233.193.228.42
434,Glad,Costan,7.28,26,124.225.37.177
435,Elva,Porter,17.63,24,66.41.175.52
436,Leonie,Peplow,11.63,35,110.209.7.173
437,Charlotte,Veque,10.88,22,199.126.81.55
438,Cosetta,Thaine,12.18,15,194.91.247.124
439,Kendrick,Beazey,18.05,32,186.21.23.12
440,Daven,Lamps,17.27,14,146.145.249.93
441,Kristoffer,Kermannes,17.1,34,2.129.248.148
442,Udale,Dinis,15.22,16,151.108.117.188
443,Delila,Petrelluzzi,17.74,21,59.162.43.124
444,Rey,Breslauer,8.41,25,214.1.106.63
445,Cherrita,Crumbie,13.56,12,114.129.90.147
446,Hort,Lanney,18.27,25,124.225.12.108
447,Trenna,Rochford,8.91,29,160.125.205.244
448,Killie,Aindrais,14.02,35,56.168.61.220
449,Yorker,Pizzey,16.95,25,31.230.63.210
450,Jewel,Rothschild,17.45,29,116.143.116.59
451,Winfield,Gueste,7.81,25,62.209.92.204
452,Sargent,Kingswood,17.0,31,13.154.184.226
453,Dru,Burger,7.87,14,179.215.71.110
454,Charyl,Gethouse,16.14,9,184.174.85.189
455,Isabelita,Mundy,13.1,23,58.83.199.159
456,Rance,Hamlin,10.92,35,212.2.231.180
457,Rance,McGunley,9.08,30,100.154.27.195
458,Holden,Blennerhassett,11.19,10,39.59.179.13
459,Etienne,Rushford,16.51,23,46.53.128.207
460,Mickey,Sprigg,14.23,32,215.6.95.59
461,Betteann,Daftor,17.29,29,241.220.30.140
462,Felike,Mingaud,15.06,22,61.77.36.61
463,Kaleb,Fellis,11.56,23,2.144.154.56
464,Tami,Szepe,10.97,25,123.96.152.225
465,Neville,Ballinghall,17.24,8,26.127.208.139
466,Caril,Myles,8.98,32,250.7.34.191
467,Tasha,Warnes,14.95,30,158.206.10.189
468,Mimi,Hilley,16.07,37,60.232.208.80
469,Barnie,Dougherty,11.07,20,13.79.203.91
470,Zara,Broschke,11.79,13,46.136.72.2
471,Grenville,D'Almeida,16.43,34,235.24.122.57
472,Virgil,Toffano,11.17,35,44.78.18.54
473,Steffen,Franseco,10.46,33,55.13.124.27
474,Clarie,Lanceter,8.43,31,185.136.116.124
475,Pembroke,Banaszewski,14.44,8,190.42.102.38
476,Gibby,Heeney,9.86,20,114.96.204.209
477,Hillery,Lovart,14.47,20,252.68.85.58
478,Lisabeth,McLarens,8.65,18,222.24.167.240
479,Lock,Maun,11.6,19,78.18.188.159
480,Shanta,Fillary,18.45,13,74.51.93.74
481,Codee,Pinkard,8.11,9,223.223.249.121
482,Brianna,Probate,9.8,38,204.35.149.199
483,Roberta,Poppleston,16.41,33,86.43.140.90
484,Abbie,Orans,10.0,18,157.170.33.170
485,Luther,Tutill,14.49,31,30.216.156.251
486,Robina,Scole,15.07,13,244.78.193.191
487,Kay,Fatscher,16.32,17,179.3.205.148
488,Mychal,Mandy,13.11,38,52.218.29.48
489,Dyna,Otham,15.55,21,209.204.108.239
490,Marlene,Folk,15.19,22,149.94.60.165
491,Lillian,Ortet,10.25,39,109.124.146.117
492,Aggie,Atcherley,9.95,17,220.94.219.245
493,Gennie,Sprouls,17.05,17,233.52.203.233
494,Sarine,Milier,18.74,16,182.171.166.113
495,Ashly,Staneland,8.04,37,253.231.55.248
496,Kerrill,Ashlin,12.84,31,216.149.51.134
497,Tarrance,Lodden,16.76,26,33.11.220.154
498,Adelice,Sollime,8.07,29,78.106.147.227
499,Amalee,Guidini,13.76,32,199.151.78.36
500,Mauricio,Chalcraft,10.34,22,245.62.57.216
501,Chiarra,Eddowis,13.43,27,230.114.136.99
502,Karylin,Ruberry,14.07,21,154.117.246.225
503,Fernandina,Patifield,13.98,16,224.14.11.43
504,Garrott,Kleingrub,16.44,19,99.188.154.190
505,Trevar,Oki,13.79,24,237.162.203.186
506,Carolin,Foan,12.13,21,222.229.94.255
507,Agatha,Baack,7.38,16,22.245.6.98
508,Marget,Harbard,15.4,25,57.8.87.235
509,Brose,Agostini,16.16,34,66.196.252.132
510,Elane,Degoy,12.92,28,96.112.178.239
511,Dallas,Le febre,9.19,23,142.142.59.8
512,Jory,Lainton,18.75,25,234.2.252.203
513,Arron,Nottle,10.3,10,104.118.220.41
514,Rafferty,Kean,12.13,35,78.43.216.220
515,Ware,Gemmill,18.07,26,155.92.176.58
516,Allie,Perrottet,11.67,27,129.151.0.161
517,Thibaud,Ogus,11.23,22,169.67.210.44
518,Grantley,Greatrex,17.59,16,104.235.44.246
519,Perice,McQuin,12.04,19,28.141.147.195
520,Rickie,Reef,11.19,25,14.37.71.122
521,Skyler,Sporrij,12.86,30,98.219.5.18
522,Kendell,Nozzolii,15.15,21,62.127.39.133
523,Ivory,Wand,18.8,18,209.221.35.210
524,Shurlock,Whitlock,11.15,26,250.173.154.253
525,Brandise,Kohrsen,13.05,20,127.143.189.169
526,Anthe,Franc,15.89,29,71.252.74.92
527,Jodi,Stuer,9.62,9,181.162.158.23
528,Tommy,Rickeard,8.12,39,167.131.45.83
529,Isidore,Nellis,7.91,27,224.219.10.130
530,Filberto,Ech,13.14,8,144.30.78.29
531,Werner,Gallaher,10.53,29,128.164.125.246
